point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
66,1.97774717688e-05,9.16524986861e-07,2.71083468564e-06,2.85473429762e-08,4.86560687528e-06,7.48268032274e-07,2.40986226551e-07,1.49118648935e-05,1.68256954586e-07,2.95182091219e-06,30.0,0.0
67,2.0577998586e-05,9.51502231545e-07,2.73900844519e-06,3.06201289097e-08,5.48313713053e-06,7.70438869286e-07,2.23398407145e-07,1.50948614555e-05,1.8106336226e-07,2.96240685234e-06,30.0,0.0
68,2.11703441438e-05,5.67921013866e-07,2.76137509954e-06,1.89118748885e-08,5.92873206458e-06,4.55720360544e-07,2.09777484954e-07,1.52416120792e-05,1.12200653321e-07,2.9711525845e-06,30.0,0.0
69,2.13748521833e-05,4.23516473627e-22,2.76957673741e-06,2.91167575619e-22,6.0789947454e-06,2.32934060495e-21,2.04882734388e-07,1.52958574379e-05,0.0,2.9744594718e-06,30.0,0.0
70,0.00498757352073,1.26309553095e-17,9.68493511641e-06,1.30104260698e-18,0.00756499679636,1.61762964135e-16,0.000394055735476,0.00257742327562,1.90819582357e-17,0.000403740670591,30.0,0.0
71,0.00785743617626,0.0232858495235,0.00106845261162,0.00173481683007,0.0233416583875,0.00877964685176,0.00108607629657,0.0154842222113,0.0145062026718,0.0021545289082,30.0,0.0
72,0.174317853126,0.0391817126643,0.0156621090675,0.00217374303984,0.0846681273425,0.0291706634408,0.003721812051,0.0896497257817,0.0100110492233,0.0119402970164,30.0,0.0
73,0.00847428297385,0.0113203947176,0.000441473816011,0.00101821476124,0.0173925514728,0.000916249002715,0.000823081256146,0.00891826849895,0.0104041457149,0.00126455507216,30.0,0.0
74,0.00225504268184,7.69854245461e-05,6.5604036851e-06,7.36381352208e-05,0.00332142383878,0.00126729868637,0.000184670969399,0.00106638115694,0.00134428411091,0.000178110565714,30.0,0.0
75,0.00225504268184,7.69854245461e-05,6.5604036851e-06,7.36381352208e-05,0.00332142383878,0.00126729868637,0.000184670969399,0.00106638115694,0.00134428411091,0.000178110565714,30.0,0.0
76,0.00847428297385,0.0113203947176,0.000441473816011,0.00101821476124,0.0173925514728,0.000916249002715,0.000823081256146,0.00891826849895,0.0104041457149,0.00126455507216,30.0,0.0
77,0.174317853126,0.0391817126643,0.0156621090675,0.00217374303984,0.0846681273425,0.0291706634408,0.003721812051,0.0896497257817,0.0100110492233,0.0119402970164,30.0,0.0
78,0.00785743617626,0.0232858495235,0.00106845261162,0.00173481683007,0.0233416583875,0.00877964685176,0.00108607629657,0.0154842222113,0.0145062026718,0.0021545289082,30.0,0.0
79,0.00498757352073,2.28698895759e-20,9.68493511641e-06,8.10504651404e-20,0.00756499679636,1.34390247411e-17,0.000394055735476,0.00257742327562,1.30104260698e-18,0.000403740670591,30.0,0.0
80,3.03117132328e-05,7.45388993584e-20,3.95953141834e-06,2.75285707858e-21,4.15390871553e-06,4.57397791517e-20,2.65707206997e-06,3.44656219483e-05,2.20228566286e-20,6.61660348831e-06,30.0,0.0
